,text,preprocessed,cluster
682,"congratulation... ;;team india kapadi...;; won the world cup 2016 ;;,,,,",india world cup,26
683,"when you were literally just talking about fidel castro dying today and then it happens,,,,",literally fidel castro today,2
684,"wasn't alicia vikander in a vetter movie this year? she should have won for ex machina.,,,,",alicia vikander movie ex,1
685,"india are the world champs in kabaddi. india beat iran in kabaddi world cup finals . what a champion performance.,,,,",india world india beat iran kabaddi world cup champion,26
686,"india win ..what a great achievment team india ...,,,,",india win great team india,26
687,"well deserved for alicia vikander!,,,,",well alicia,1
688,"alicia vikander. the next big thing.,,,,",alicia next big,1
689,"reports: plane carrying copa sudamericana finalist chapecoense crashes in colombia,,,,",plane chapecoense,18
690,"and just like that,,,,",like,26
691,"no.1 bowler ashwin took only one wicket! no.2;batsman scored only 15 runs! still no.1 team india;manage to win the test by an innings!,,,,",one still team win test,26
692,"m7.3 hit japan 5:56am tuesday,,,,",hit japan,11
693,"congrats alicia vikander!!!! you were my favorite! ;,,,,",congrats alicia,1
694,"with this earthquake,,,,",,11
695,"the goat fidel castro couldn't even survive 2016.,,,,",fidel castro even survive,2
696,"plane carrying brazilian soccer team crashes in colombia,,,,",plane brazilian soccer team,18
697,"cuban president raul castro has announced the death of his brother fidel castro,,,,",cuban president raul castro death brother fidel,2
698,"san francisco mourning death of fidel on castro st. with candle light vigil.,,,,",death fidel castro,2
699,"so fidel castro is dead,,92, is breathing and ruling !,",fidel castro,2
700,"florida is off of the table. he basically won fl. michigan is our focus rn.,,,,",florida,23
701,"plane carrying brazilian football team chapecoense crashes in colombia,,,,",plane brazilian football team chapecoense,18
702,"plane carrying football players from brazil crashes in colombia,,,,",plane football brazil,18
703,"wtf plane carrying a soccer team crashes... not being biased to the other ppl. hopefully they are all fine .,,,,",wtf plane soccer team hopefully,18
704,"""when you type """"snapchat not working"""" just to make sure you're not the only one struggling"",,,,",make sure one,5
705,"#alert paris police: at least 14 dead,,,,",paris least,26
706,"me: ok i'll start my homework now; no excuses like the last 100 times.;;*fidel castro dies*;;*doesn't touch homework until 11:30pm sunday*,,,,",ok start like last castro,2
707,"mag-7.3 quake strikes japan; tsunami warning issued,,,,",quake tsunami,11
708,"historical 'karun nair' scored triple century became 2nd indian cricketer who scored 300 in test.,,,,",historical triple century indian,15
709,"magnitude 7.3 earthquake strikes off fukushima in japan,,,,",magnitude earthquake fukushima,11
710,"if you can't handle me at my fulgencio batista,,,,",handle,26
711,"congrats to karun nair,,,,",congrats karun,15
712,"at least 18 dead after #shootings,, afp says,,",least dead afp,26
713,"fidel castro died? i legit thought he died a few years ago and his brother was running the show on his behalf...,,,,",fidel castro thought ago brother show,2
714,"18 dead in paris... (french media reports),,,,",dead,26
715,"wowowowow i hate to inform yall that my uncle fidel castro just died,,,,",hate fidel castro,2
716,"and there it is! soak it all up karun nair. this is beyond amazing.,,,,",karun,15
717,"lmao mint snapchat is working x,,,,",snapchat,5
718,"magnitude 7.3 earthquake hit the coast of fukushima prefecture in japan at 5:50 am on november 22nd. ;;tsunami warning is alarming now.,,,,",magnitude earthquake hit coast fukushima prefecture japan,11
719,"japan earthquake today: 6.9-magnitude hits near fukushima,,,,",japan earthquake near,11
720,"is anyone else's snapchat not working,,,,",anyone snapchat,5
721,"cuba's former leader fidel castro has died aged 90,,,,",former leader fidel castro,2
722,"dzmm: plane carrying brazilian football team reportedly crashed with 89 on board. lord have mercy on them,,,,",plane brazilian football team reportedly,18
723,"congratulations team india defeating england in 4th test at chennai done excellent performance.,,,,",team india england test chennai excellent,26
724,"trump won florida? this might actually happen...,,,,",trump might actually,23
725,"triple century by karun nair in only his 2nd test match! some achievement,,,,",triple century karun nair test,15
726,"its all over team india won by innings &amp; 75 runs against england &amp; won 5 match test series 4-0.,,,,",team india england match test series,26
727,"colombian authorities report plane carrying dozens has crashed near medellin - ap,,,,",colombian report plane near medellin,18
728,"donald trump just won florida and is almost guaranteed to be president,,,,",donald trump florida almost,23
729,"karun nair goes past vvs laxman's 281. now only sehwag has scored more runs in an inns for india.,,,,",karun nair past sehwag,15
730,"alicia vikander is swedish. as i am. so i know that our kind does not tan naturally like that.,,,,",alicia vikander know like,1
731,"if everyone who voted for gary &amp; jill voted for hillary she would have won florida .....,,,,",everyone hillary would florida,23
732,"breaking news police : 3 attacks in paris,,,,",news police,26
733,"incredible win for team india..;from 130/0 to 207 all out.. and jadeja the reason.. ;,,,,",incredible win team jadeja,26
734,"florida is blue in that pic rt may i remind u guys this was obama vs romney and obama won,,,,",florida rt may u obama obama,23
735,"congratulations indian kabaddi team for winning 2016 kabaddi world cup!!,,,,",indian kabaddi team kabaddi world,26
736,"breaking: donald trump has won florida,,,,",donald trump,23
737,"prayers for paris,, attacks in perhaps three different areas, gunfire and...,",three different gunfire,26
738,"report: fidel castro dies at age 90,,,,",fidel castro age,2
739,"why does snap always quit working when i'm tryna message people,,,,",snap always,4
740,"i personally never seen fidel castro to be a bad guy,,,,",never fidel castro bad,2
741,"karun nair brings up his triple century,, he was dropped on 34 by cook.,,",karun nair triple,15
742,"breaking: plane carrying 81 people from brazil has crashed in colombia,,,,",plane people brazil,18
743,"alicia vikander was awesome! my 1st prediction,,,,",alicia vikander,1
744,"don't realise how much i use snapchat until it doesn't work,,,,",realise much use snapchat,5
745,"dunno why i'm so bothered about snapchat not working,,,,",snapchat,5
746,"shocked to hear about plane crash carrying football players from lets pray for everyone.,,,,",hear plane crash football pray,18
747,"watch the live coverage from japan following the major earthquake and possible tsunami.,,,,",watch live japan major earthquake possible,11
748,"breaking: former cuban dictator fidel castro has died at 90.,,,,",former cuban dictator fidel castro,2
749,"best supporting actress goes to alicia vikander,,,,",best actress alicia,1
750,"actually mind blown that trump won florida its nothing but spanish people here,,,,",actually trump florida nothing people,23
751,"and the oscar for goes to ... alicia vikander for,,,,",oscar alicia vikander,1
752,"this indian test team is set to push limits,,turn the tables &amp; extract wins no matter what!,,",indian test team,26
753,"unbelievable kid karun nair ,,,,",karun nair,15
754,"karun nair is going to break viru pa's record in sometime,,,,",karun nair break record,15
755,"congratulations to indian kabaddi team winning world cup,, proud to be an indian,,",indian kabaddi team world proud,26
756,"""i heard """"donald won florida"""" and i burst out into tears y'all."",,,,",,23
757,"washpost and bbc disagree which castro has died. wapo says raul and bbc says fidel. accuracy vs speed,,,,",bbc castro raul bbc,2
758,"is anyone else's snapchat not working? or just mine,,,,",anyone snapchat,5
759,"deadly shooting,,,,",deadly,27
760,"magnitude 7.3 earthquake strikes fukushima area of japan,,,,",magnitude earthquake fukushima area,11
761,"karun nair in this test;;scored 1st 50 converted to century;;scored 1st century converted to 150;;scored 1st 150 converted to 200,,,,",karun nair century,15
762,"oh fidel castro died;;i totally didn't think he was already dead ahaha you're all stupid if you think that haha,,,,",oh fidel castro think already dead think,2
763,"i don't know how to live in a world where florence henderson no longer exists.;- fidel castro,,,,",know live world florence henderson fidel,2
764,"anybody else's snapchat not working,,,,",snapchat,5
765,"trump won florida,,,,",trump,23
766,"ding dong the cuck is dead! ... marxist dictator fidel castro dies at 90!!!,,,,",dictator fidel castro,2
767,"this is really really bad in paris. police usually initially suppress numbers of dead to reduce panic spread. already 11 confirmed dead.,,,,",really really bad police dead already,26
768,"am i the only one whose snap isn't working?,,,,",one snap,4
769,"big earthquake and tsunami warning in japan. hope all our brothers and sisters are ok. &lt;3,,,,",big earthquake tsunami hope,11
770,"retweeted newstalk1010 ( tsunami warning has been issued for japan after a 7.3-magnitude earthquake struck.,,,,",tsunami japan earthquake,11
771,"i have seen from a source that fidel castro has finally died ......is this true?,,,,",fidel castro finally,2
772,"fidel castro has died. rip.....,,,,",fidel castro,2
773,"at least 26 dead after explosion,,,,",least dead,26
774,"suicide bomber in paris 11 confirmed dead so far when will it end #animals #prayforparis,,,,",paris dead far end,26
775,"congrats team india....once again india has won all the editions of kabaddi world cup,,,,",congrats team india kabaddi world,26
776,"india tops the world cup kabaddi tournament .... happy ......,,,,",india world cup kabaddi happy,26
777,"snapchat ain't working and i'm gonna snap,,,,",snapchat gonna,5
778,"wasn't alicia vikander in like 204450349 films this year?,,,,",alicia vikander like,1
779,"why is snapchat not working i have streaks i need to save,,,,",snapchat need,5
780,"reports of shooting,, in paris,,",,26
781,"what a match!! awesome come back.. we won world cup..time to cheer ..game humari,,,,",awesome come world,26
782,"karun nair being a beast! england players have been brought down to their knees.,,,,",karun nair england,15
783,"congratulation team india. ... good play against england,,,,",congratulation team good play,26
784,"who else's snapchat isn't working,,,,",snapchat,5
785,"""and god said """"i gave you president trump. the least i can do is take fidel castro."""""",,,,",god president least take fidel,2
786,"proud to be indian...; congratz to team india winning kabaddi world cup 2016..,,,,",proud team india kabaddi world cup,26
787,"congratulations alicia vikander and for best supporting actress!,,,,",alicia vikander best,1
788,"sees colin kaepernick trending because fidel castro died. still hopes for 25-30 points for his fantasy team this week.,,,,",colin kaepernick fidel castro still team,2
789,"breaking: magnitude 7.3 earthquake strikes off fukushima in japan,,,,",magnitude earthquake fukushima,11
790,"kl rahul,,,,",,26
791,"wtf is wring w snapchat,,,,",wtf w,5
792,"fidel castro just died,,,,",fidel castro,2
793,"tsunami warning for up to 10-foot waves issued for japan after quake off fukushima.,,,,",tsunami japan quake,11
794,"i don't understand people defending fidel castro,,,,",understand people fidel,2
795,"struck by large 7.3 eq strikes japan. tsunami warning in effect! rt!,,,,",large tsunami,11
796,"with fidel castro's death,,,,",fidel,2
797,"plane carrying a brazilian football side crashes,,,,",plane brazilian football,18
798,"paris under attack;four shootings kalashnikov shots: at least 18 dead;explosions near the stadium,,,,",paris least near,26
799,"#breaking 18 dead and hostages taken in series of attacks across #paris #fusillade #parisshooting,,,,",dead series,26
800,"commentators talked about his triple ton in the ranji trophy final so much that karun nair extended his maiden test ton to a triple century,,,,",triple ton final much karun nair maiden test ton triple,15
801,"fidel castro died. rest in peace.,,,,",fidel castro rest,2
802,"alicia vikander is lovely. i'm glad she won.,,,,",alicia vikander glad,1
803,"fidel castro couldn't handle another month of 2016 either.,,,,",fidel castro handle another,2
804,"the scary thing about that map w/ obama winning.. is.. that obama won florida. hillary is not.,,,,",thing obama obama hillary,23
805,"exclusive: even alicia vikander agrees her gorgeous oscars dress looks like princess belle: 'that was ... -,,,,",even alicia vikander dress like princess,1
806,"japan tsunami warning after earthquake,,,,",japan tsunami,11
807,"well done,,,,",well,10
808,"at least 26 people confirmed dead in paris tonight. absolutely shocking. makes me sick to the pit of my stomach.,,,,",least people dead paris absolutely sick,26
809,"airplane carrying brazilian socer team and dozens of others crashes in colombia,,,,",airplane brazilian team,18
810,"alicia vikander has been killing it this past year.,,,,",alicia vikander past,1
811,"trump has won florida,,,,",trump,23
812,"have never seen an indian team play as dominantly as the current one. incredible performance once again.; #,,,,",never indian team play incredible performance,26
813,"plane carrying 81 involved in accident in colombia,,,,",plane,18
814,"congratulations team india... now the score has been settled... ; ;,,,,",team score,26
815,"rip to the last great leader,, too wise for this world. strength to cuba.,,",rip last great,25
816,"sehwag;laxman;dravid;karun nair;250+ elite company for india!;,,,,",,15
817,"explosions,,,,",,14
818,"team india 5th test win bye ing &amp; 74 runs &amp; win the series 4/0,,,,",team india test win bye win series,26
819,"earthquake sparks japan tsunami warning,,,,",earthquake japan tsunami,11
820,"tsunami statement after 7.3 japan quake.,,,,",tsunami japan,11
821,"my grandmothers outlasted fidel castro. i am happy.,,,,",fidel,2
822,"florence henderson and fidel castro are two-thirds of the weirdest death trio ever.,,,,",florence henderson fidel castro death,2
823,"tsunami may be 3 meters or higher after earthquake off fukushima,, nhk announces via,,",tsunami may earthquake nhk,11
824,"plane carrying football players from brazil crashes in colombia;,,,,",plane football brazil,18
825,"does snapchat ever work !! so annoying,,,,",snapchat ever work,5
826,"the leader of the cuban revolution who steered the country through decades of us blockade has reportedly died. rest in peace,,,,",leader cuban revolution country reportedly rest,20
827,"kabaadi world cup:india lead 27:22 against iron,,,,",world lead,26
828,"congrats indian kabaddi team for the world cup win.proud moment for the country.,,,,",congrats indian kabaddi team world cup moment,26
829,"is it just me or is snapchat not working properly???,,,,",snapchat,5
830,"well played india and many many congratulations to team india and,,,,",well india many many team india,26
831,"why is snapchat not working,,,,",snapchat,5
832,"colin kaepernick called a hypocrite by miami columnist for defending fidel castro,,,,",colin kaepernick fidel,2
833,"snapchat world lenses aren't for your face: here's how they work,,,,",snapchat world,6
834,"amit mittal from barodameo i congratulate karun nair for 300 runs,,,,",karun nair,15
835,"i'm annoyed at myself for being annoyed that snapchat isn't working,,,,",snapchat,5
836,"paris attack: shootout and explosion reported in the french capital,,,,",paris shootout explosion french,26
837,"wow snaps not working what a surprise,,,,",wow,4
838,"fidel castro death is a loss for humanity especially for cubans let's c if this news is true or not. god bless fidel castro,,,,",fidel castro death news true god fidel,2
839,"superb cumbck from india in 2nd half,,,,",superb india,26
840,"retweeted michael ian black ( awful,,,,",black,26
841,"he's won florida,,,,",,23
842,"i never use snapchat but when i do it doesn't work,,,,",never use snapchat,5
843,"plane carrying a brazilian football team crashes in colombia - independent.ie,,,,",plane brazilian football team colombia,18
844,"is anyone else's snapchat not working???,,,,",anyone snapchat,5
845,"domdyer70: at least 18 dead many wounded &amp; hostages being held in paris terror attacks tonight,,,,",least dead many paris terror,26
846,"is any one else's snapchat not working.....,,,,",one snapchat,5
847,"me bc snapchat stopped working,,,,",snapchat,5
848,"tsunami warning after strong earthquake hits japan,,,,",tsunami strong earthquake,11
849,"18 dead in paris so far and a hostage drama unfolding. not a good place to be today,,,,",dead paris far hostage good place,26
850,"lonard cohen,,,,",,26
851,"alicia vikander certainly sounds danish.,,,,",alicia vikander,1
852,"take a bow young man karun nair!!! ;.;india declared 759/7 | lead by 282 runs,,,,",take bow young man karun lead,15
853,"with azhar ali earlier in the year scoring 300,,,,",year,26
854,"congratulations team india;india won the 5 match test series 4-0,,,,",team match test series,26
855,"so karun nair wants to score 300 today itself. he started playing as a odi player after he scored 250.,,,,",karun nair score today player,15
856,"highest ever test total 4 crossed &amp; 300 for karun nair. go,,,,",highest ever test total karun,15
857,"japan earthquake: 7.3 magnitude quake strikes off fukushima - tsunami warning issued,,,,",japan magnitude quake fukushima tsunami,11
858,"fidel castro dies,,,,",fidel castro,2
859,"all of you tweeting that fidel castro is dead,,,,",fidel castro,2
860,"yooooo wtf i'm so high and fidel castro just died this is so weird lol everyone in ariels neighborhood are screaming and honking outside,,,,",wtf high fidel castro lol everyone,2
861,"karun nair just scored more runs in an innings than sachin in his entire career,,,,",karun nair entire,15
862,"must only be my snapchat that's working,,,,",must snapchat,5
863,"""alicia vikander best supporting actress """"the danish girl"""""",,,,",vikander best actress danish,1
864,"alicia vikander! what is going on with eddie redmayne's face? he's about to burst.,,,,",alicia,1
865,"plane carrying brazilian football team chapecoense crashes in colombia - the guardian,,,,",plane brazilian football team chapecoense colombia,18
866,"fidel castro is dead.. he was 90.. another historical figure of our time,,,,",fidel castro another historical figure,2
867,"alicia vikander will win for the wrong movie. she was way better in ex machina.,,,,",alicia vikander win way better ex,1
868,"shootings and explosions in different places of #paris tonight,, at least 18 dead already.,,",different least dead,26
869,"wowwwww. this man won florida.,,,,",man,23
870,"unbeaten 303 from karun nair,,,,",unbeaten karun,15
871,"i learned of fidel castro's well deserved death from name. take that cnn!,,,,",fidel well death take,2
872,"at least 18 dead in attacks in central #paris;via,,,,",least dead central,26
873,"if hillary had won florida and ohio the race would've been almost over,,,,",hillary florida ohio almost,23
874,"7.3 magnitude earthquake hits fukushima,,2016, 5:59am),",magnitude earthquake,11
875,"fun fact: academy award winner alicia vikander is besties with tove lo and icona pop!,,,,",academy award winner alicia vikander,1
876,"jaddu 50!!! ;;lucky karun nair to see sir jadeja scoring 50 so closely,,,,",karun nair see sir jadeja,15
877,"hillary could have won florida if 100,,,,",hillary could florida,23
878,"magnitude 7.3 earthquake off coast of fukushima in japan. evacuation warnings for tsunami.,,,,",magnitude earthquake coast fukushima evacuation,11
879,"is it just my snapchat that won't work? or..,,,,",snapchat,5
880,"she and her dress rule the world!!!%aliciavikanfer,,,,",dress rule,26
881,"fidel castro is actually dead wtf,,,,",fidel castro actually dead,2
882,"fidel castro 's teaching will be with us always;rip champion,,,,",fidel castro,2
883,"paris under attack: at least 18 dead via #auspol,,,,",paris least dead via,26
884,"well played india..congrats team india champion 2016 kabaddi world cup..,,,,",well team india champion kabaddi world,26
885,"cuba s fidel castro has died aged 90 - the west australian via,,,,",cuba fidel castro,2
886,"fidel castro dead at 90. rip,,,,",fidel castro dead,2
887,"""my friend just randomly yelled out """"fidel castro died"""""",,,,",friend castro,2
888,"will fidel castro dying supersede this debacle!? i hope so...,,,,",fidel castro hope,2
889,"why has my snapchat decided to stop working????,,,,",snapchat stop,5
890,"what an emphatic victory! performed as a team and good captaincy. congratulations team india.,,,,",emphatic team good team,26
891,"alicia vikander wins the supporting actress award. what do you think of that? was she worthy?,,,,",alicia vikander actress think,1
892,"you will always be remembered for the mark you have left in this world,,,,",always,26
893,"cuba's fidel castro,, dies aged 90,,",fidel,2
894,"well played;cngrts team india;jai ho,,,,",well team,26
895,"breaking: police report 18 dead in #paris violence. continuing coverage live on,,,,",police report dead live,26
896,"i miss fidel castro already.,,,,",fidel castro,2
897,"at least one good thing came from 2016,,,,",least one good thing,22
898,"fidel castro muere.. a be back,,,,",fidel castro,2
899,"hearty congratulations to the indian cricket team. india wins the series against eng 4-0.,,,,",indian cricket india series eng,26
900,"#sirajsolution's: paris under attack: at least 26 dead,,,,",paris least,26
901,"several feared dead after gunman opens fire at restaurant in paris: reports: several feared dead after gunman opens fire at restauran...,,,,",several dead gunman fire restaurant several dead gunman fire,26
902,"i think i read something about fidel castro and bat boy in weekly world news once. that's all i know about him. i hope bat boy is okay,,,,",think something fidel castro bat boy world news know hope bat boy,2
903,"fidel castro,, dies aged 90,,",fidel,2
904,"fidel castro,, dies aged 90,,",fidel,2
905,"japan hit by 7.3 magnitude earthquake,,,,",japan hit magnitude,11
906,"any doubt of islamic? at least 18 dead in attacks in paris and 60 hostages reported taken at concert hall |,,,,",least dead paris concert hall,26
907,"fidel castro's death is just the political nudge we needed to go full tom clancy.,,,,",fidel death go,2
908,"damn i thought fidel castro been perished,,,,",damn thought fidel castro,2
909,"well done ajay thakur,,,,",well ajay,10
910,"alicia vikander is too cute.,,,,",alicia vikander,1
911,"yo s/o to fidel castro;;the cia originally funded him to overthrow batista. then spent decades trying to fry him.,,,,",fidel,2
912,"if you had asked me 5 minutes ago when did fidel castro die i would have guessed between 1998-2002 i won't lie on here to my friends,,,,",ago fidel castro die would,2
913,"bbc bulletin- mayhem in paris right now. 18 dead.,,,,",bbc paris right,26
914,"karun nair is very near to maiden triple century.... he converted maiden century to maiden double and on on it's way to triple... keep going,,,,",karun nair near maiden triple maiden century maiden double way keep,15
915,"""colin kaepernick engaged in a """"heated"""" discussion about fidel castro with a reporter in florida last week."",,,,",kaepernick fidel castro florida last,2
916,"tom hooper has now directed 3 actors to colin firth,,,,",colin,26
917,"congrats team india for a ruthless and absolutely dominating 4-0 win!,,,,",congrats team india absolutely,26
918,"very large earthquake has shaken northern japan - tsunami warnings are in effect along the coast,,,,",large earthquake japan tsunami effect,11
919,"paris attacks: french police union now reporting 20 dead,,,,",paris french police,26
920,"plane carrying players from crashes in no report on possible casualties.,,,,",plane report possible,18
921,"katching my i: brie larson &amp; alicia vikander lead glamour on the oscars red carpet,,,,",brie larson alicia vikander lead red,1
922,"y'all my coworker and i were literally talking about fidel castro hours before it was announced that he died and i think we jinxed him,,,,",literally fidel castro think,2
923,"a tsunami warning is in effect for japan's fukushima prefecture after a 7.3-magnitude earthquake struck off of honshu at 5:59 a.m. tuesday,,,,",tsunami effect fukushima prefecture earthquake,11
924,"alicia vikander wins for best supporting actress.;;,,,,",alicia vikander best,1
925,"so,, dies aged 90,,",,35
926,"maybe snapchat not working is a way of hillary getting her revenge.,,,,",snapchat way hillary,5
927,"karun nair has become only the 2nd man ever (v sehwag,,,,",karun nair become man ever,15
928,"alicia vikander is so poised,,,,",alicia vikander,1
929,"clinton won virginia. the current electoral count is 188 clinton and 187 trump. florida is still undecided.,,,,",clinton clinton florida still,23
930,"tokyo (ap) -- magnitude 7.3 earthquake strikes off fukushima in japan,,,,",magnitude earthquake fukushima,11
931,"lets be honest everyone thought fidel castro was already dead,,,,",everyone thought fidel castro already,2
932,"yare paris shootings and explosions leave several dead,,,,",paris leave several,26
933,"wow wat a win by team india,, excellent team performance! come on india!,,",wow wat win team excellent team come,26
934,"congrats to for winning best supporting actress alicia vikander in a supportive role,,,,",congrats best actress alicia vikander,1
935,"karun nair plays some trademark rohit sharma shot in this marathon inning. ;;,,,,",karun nair,15
936,"alicia vikander looks like a real princess &lt;3,,,,",alicia vikander like real princess,1
937,"hope for nic maddinson yet.........karun nair only averaged 8.5 after 1 test,,,,",hope nair,15
938,"fidel castro just died;;here's a picture,,,,",fidel castro,2
939,"congrats indian kabaddi team to clinch world cup 2016,,,,",congrats indian kabaddi team world cup,26
940,"wolf chosen as 2018 fifa world cup official mascot and named zabivaka,,,,",world cup official,26
941,"all the best to indian team for ;famous victory ...;;,,,,",best indian team victory,26
942,"at least 18 apparently dead in paris. multiple attacks,,,,",least dead multiple,26
943,"18 people dead after multiple attacks in paris; more casualties expected - via,,,,",people dead multiple,26
944,"japan issues tsunami warning after magnitude 7.3 earthquake off coast near... by via,,,,",japan tsunami magnitude earthquake coast,11
945,"reported paris shooting/bombing with at least 18 dead. what is the world coming to? so far 3 different incidents;;,,,,",paris least world far different,26
946,"wat a win for team india. a difrnt hero for evry situation ;congrats for fantastic performance in final hour. ;,,,,",wat win team hero situation fantastic performance final,26
947,"this india team is the replica of ricky ponting's australian team.. draw never on the cards,,,,",india team draw never,26
948,"earthquake sparks japan tsunami warning,,,,",earthquake japan tsunami,11
949,"congratz team 2016 world cup winner defeat 38 - 29;;kabaddi is state game,,,,",team world cup winner defeat state,26
950,"till yesterday karun nair was unknown to many and today he has risen.,,,,",karun nair unknown many today,15
951,"this test series win has created many records for india. many more congratulations to team india...!;&amp; best luck for one day and t20.,,,,",test series win many many team best one day,26
952,"tsunami warning issued after quake off fukushima in japan...,,,,",tsunami quake fukushima,11
953,"what a match .....;we won kabaddi world cup....;hard luck irana...;ajay thakur the real hero..,,,,",match kabaddi world thakur real,26
954,"my mood right now because of the fact that snapchat is laggy and isn't working...,,,,",right fact snapchat,5
955,"if snapchat could start working again that'd be great,,,,",snapchat could start,5
956,"why is my snapchat not working!!:((,,,,",snapchat,5
957,"why isn't snapchat working rn that is so rude,,,,",snapchat rn,5
958,"india have won the 2016 kabaddi world cup!!!!,,,,",india kabaddi world,26
959,"did anyone else's snapchat just stopped working?,,,,",anyone snapchat,5
960,"karun nair's batting is not too pretty to look at. but it's effective nonetheless!,,,,",karun pretty look,15
961,"high key upset snapchat isn't working,,,,",high upset snapchat,5
962,"they've just finished building a wall around that nuclear reactor from the last tsunami. ;;nature is trolling japan.,,,,",around last,11
963,"wow wow wow team india and congrats 4-0 series won well played boys,,,,",wow wow wow team india congrats series well,26
964,"i am worried for my japanese friend about the big earthquake and a tsunami is comming... it's awful !!,,,,",japanese friend big earthquake tsunami awful,11
965,"japan earthquake strikes off fukushima,,,,",japan earthquake,11
966,"condemn me, it does not matter; history will absolve me. long live fidel castro and long live cuba,,,",history long live fidel castro long live,2
967,"why is my snapchat not working,,,,",snapchat,5
968,"well done karun nair,,,,",well karun,15
969,"several dead in shootout at paris restaurant; explosions near france-germany soccer match,,,,",several dead shootout paris near soccer,26
970,"7.3 quake hits fukushima in japan. tsunami warning has been issued,,,,",quake fukushima tsunami,11
971,"congratulation team india &amp; for the great victory...,,,,",congratulation team india great,26
972,"now i am first timea big fan of a cricketer. he is karun nair.what a player mindblowing fantastic cricket by the super star,,,,",first big karun player fantastic cricket super,15
973,"fidel castro finally died. lucifer is dancing a jig,,,,",fidel castro finally,2
974,"long-time cuban leader fidel castro dies at age 90,,,,",cuban leader fidel castro age,2
975,"tsunami warning issued after earthquake with preliminary magnitude of 7.3 off eastern japan - nhk via,,,,",tsunami earthquake magnitude japan nhk,11
976,"alicia vikander is simply gorgeous,,,,",alicia vikander,1
977,"magnitude 7.3 earthquake strikes off fukushima in japan,,,,",magnitude earthquake fukushima,11
978,"love rachel mcadams! but i think alicia vikander will get it,,,,",love think alicia vikander get,1
979,"tsunami warning issued after 6.9 quake off fukushima in japan,,,,",tsunami quake fukushima,11
980,"man,,,,",,32
981,"even fidel castro didn't want to live in a world where is president,,,,",even fidel castro want live world,2
982,"the dude just won florida!!!,,,,",,23
983,"tsunami warning issued in japan following 6.9 magnitude quake [updating],,,,",tsunami japan magnitude quake,11
984,"question: how many academy voters selected alicia vikander because they were slyly voting for her ex-machina performance?,,,,",many academy alicia vikander,1
985,"at least 18 reported dead in paris attacks via the android app -obams friends at it again.,,,,",least dead paris via android app,26
986,"fidel castro died? quick somebody change up the traveling rules,,,,",fidel castro change,2
987,"cuba's former leader fidel castro has died aged 90,,,,",former leader fidel castro,2
988,"tsunami warning issued after earthquake off fukushima,,,,",tsunami earthquake,11
989,"plane carrying members of brazilian team chapecoense has reportedly crashed en route to the copa sudamericana final.,,,,",plane brazilian team chapecoense reportedly en,18
990,"alicia vikander is stunning. i think she is the cutest. so glad she won!,,,,",alicia vikander think glad,1
991,"history made triple century by karun nair,,,,",history triple century karun,15
992,"this knock by karunnair just showed how poor is the english bowling attack and then they say kohli has become a better test batsman,,,,",knock english attack say kohli become better test,26
993,"developing: magnitude 7.3 earthquake strikes near fukushima,,,,",magnitude earthquake near,11
994,"the best actress in supporting role is alicia vikander she deserves it!,,,,",best actress role alicia vikander,1
995,"india only test team.to be undefeated in 2016..what an achievement,,,,",india test,26
996,"kabaddi world cup 2016 final,, live scores and updates: india close in on title via,,",kabaddi world cup live india close title,26
997,"5th test: karun nair nears double ton as india take charge,,,,",karun nair double ton india take,15
998,"no7 always important for india to win world cup ;no7 ajay kabbadi ;no7 msdhoni cricket w cup,,,,",always india win world cup ajay kabbadi cricket w,26
999,"alicia vikander just won for ex machina and nothing anyone says will convince me otherwise!!!,,,,",alicia vikander ex machina nothing anyone,1
1000,"oh no! kate didn't get her oscar. alicia vikander however is also an exceptional actress - and that dress is beaut!,,,,",oh kate get alicia vikander also actress dress,1
1001,"explosions,,,,",,14
1002,"father of communist cuba,,,,",communist,26
1003,"airplane carrying brazilian pro football players crashes in colombia,,,,",airplane brazilian football,18
1004,"i began revolution with 82 men.if i had to do it again,,,,",revolution,26
1005,"breaking: 26 people dead in paris! three suicidebombers.. just bizar...,,,,",people dead three,26
1006,"'shootings' reported in central paris: there are reports of several deadly shootings across a number of sites ...,,,,",central several deadly number,26
1007,"my grandma grew up in cuba as fidel castro was coming to power and i'm at her house rn...this will be interesting,,,,",cuba fidel castro power,2
1008,"watching election returns at the alley oakland - trump won ohio,,,,",election trump,23
1009,"fidel castro just died. can't wait to cringe at the communist sympathizers,,,,",fidel castro communist,2
1010,"guys we all need to pray for people in japan atm. tsunami warning has been given off,,,,",need pray people japan tsunami,11
1011,"karun nair come on son... 300,,,,",karun nair come,15
1012,"japan earthquake7.3 magnitutde. that is pretty bigaan only 160 miles from tokyo. tsunami alert issued.5.3 was days ago,,,,",japan pretty tsunami alert,11
1013,"when snapchats not working you realise how essential it is in your life,,,,",snapchats realise,4
1014,"dead bodies outside the stade de france whilst a football match goes on inside it. terrorism is so sad. #prayforparis,,,,",dead outside france football match,31
1015,"history will absolve me... -fidel castro;it already has. vas bien fidel.;rest in power my dear comrade.,,,,",history already power dear,2
1016,"hey,, alicia vikander was excellent in testament of youth, too. worth checking out.,",alicia vikander excellent,1
1017,"supporting actress goes to alicia vikander,,,,",actress alicia,1
1018,"anyone else's snapchat not working,,,,",anyone snapchat,5
